Field Name,Is Virtual,Order,Start Position,End Position,Length,COBOL Type,SQL Type,Nullable,Transform,Default Value,Null If Value,Enclosed By,Delimiter,Data Format,Description
EMPNO,False,1,1,6,6,PIC 9(6),NUMBER,NO,,,,"",,,"Employee Number - Primary Key"
ENAME,False,2,7,26,20,PIC X(20),VARCHAR2,YES,"UPPER(:ENAME)",,BLANKS,"",,,"Employee Name - Convert to uppercase"
SAL,False,3,27,33,7,PIC 9(7)V99,DECIMAL,YES,":SAL * 100",,99999,"",,,"Salary - Multiply by 100 for cents"
HIREDATE,False,4,34,41,8,PIC 9(8),DATE,YES,,,,"",,"YYYYMMDD","Hire Date - YYYYMMDD format"
DEPTNO,False,5,42,44,3,PIC 9(3),NUMBER,YES,,,,"",,,"Department Number"
JOB,False,6,45,54,10,PIC X(10),VARCHAR2,YES,"UPPER(:JOB)",,,"",,,"Job Title - Convert to uppercase"
MGR,False,7,55,60,6,PIC 9(6),NUMBER,YES,,,,"",,,"Manager Number"
COMM,False,8,61,68,8,PIC 9(8)V99,DECIMAL,YES,,,,"",,,"Commission - Decimal with 2 places"
EMAIL,False,9,69,98,30,PIC X(30),VARCHAR2,YES,"LOWER(:EMAIL)",,,"",,,"Email Address - Convert to lowercase"
PHONE,False,10,99,108,10,PIC X(10),VARCHAR2,YES,"REPLACE(:PHONE, '-', '')",,,"",,,"Phone Number - Remove dashes"
ADDRESS1,False,11,109,148,40,PIC X(40),VARCHAR2,YES,"TRIM(:ADDRESS1)",,,"",,,"Address Line 1 - Trim whitespace"
ADDRESS2,False,12,149,188,40,PIC X(40),VARCHAR2,YES,"TRIM(:ADDRESS2)",,,"",,,"Address Line 2 - Trim whitespace"
CITY,False,13,189,218,30,PIC X(30),VARCHAR2,YES,"UPPER(:CITY)",,,"",,,"City - Convert to uppercase"
STATE,False,14,219,220,2,PIC X(2),CHAR,YES,"UPPER(:STATE)",,,"",,,"State Code - 2 characters"
ZIPCODE,False,15,221,225,5,PIC 9(5),NUMBER,YES,,,,"",,,"ZIP Code - 5 digits"
COUNTRY,False,16,226,245,20,PIC X(20),VARCHAR2,YES,"UPPER(:COUNTRY)",USA,"",,,"Country - Default to USA"
STATUS,False,17,246,246,1,PIC X(1),CHAR,YES,"UPPER(:STATUS)",A,"",,,"Status - A=Active, I=Inactive"
CREATED_DATE,False,18,247,254,8,PIC 9(8),DATE,YES,"SYSDATE",,,"",,"YYYYMMDD","Created Date - Default to current date"
MODIFIED_DATE,False,19,255,262,8,PIC 9(8),DATE,YES,"SYSDATE",,,"",,"YYYYMMDD","Modified Date - Default to current date"
USER_ID,False,20,263,272,10,PIC X(10),VARCHAR2,YES,"USER",,,"",,,"User ID - Default to current user"
MIS_DATE,True,,,,,CHAR,YES,,2024-01-15,,,,"Virtual field - Mission date with constant value"
BATCH_ID,True,,,,,NUMBER,YES,":BATCH_ID_SEQ.NEXTVAL",,,,,"Virtual field - Auto-generated batch ID"
FILLER1,True,,,,,CHAR,YES,,,,"",,,"Virtual FILLER field - No position required"
FILLER2,True,21,273,280,8,,CHAR,YES,,,,"",,,"FILLER field with position - Reserves file space" 
